SS;TIPO_ERRO;DESC_ERRO;CÓD_ERRO;DETALHES_ERRO;VALOR_PECA;VALOR_TOTAL
7736993;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7736995;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7737023;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7737285;BICO;TROCA DO BICO NÃO DESARMA;;;80,37;80,37
7737337;SUPORTE AO CLIENTE;;;;0;0
7737341;SUPORTE AO CLIENTE;;;;0;0
7737607;COMPACTA;CHECK VÁLVULA;;;10;297,5
7737627;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;484,09
7737629;CPU;REPROGRAMAÇÃO;;;0;0
7737653;PARTIDA INICIAL;;;;0;751,3
7737655;PARTIDA INICIAL;;;;0;0
7737657;PARTIDA INICIAL;;;;0;0
7737735;PARTIDA INICIAL;;;;0;548,5
7737737;PARTIDA INICIAL;;;;0;0
7737739;PARTIDA INICIAL;;;;0;0
7737741;PARTIDA INICIAL;;;;0;0
7737867;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7738809;CHAMADO INDEVIDO;OUTROS;;;0;608,5
7739057;SUPORTE AO CLIENTE;;;;0;0
7739159;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7739805;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7739855;SUPORTE AO CLIENTE;;;;0;0
7739859;SUPORTE AO CLIENTE;;;;0;0
7739863;SUPORTE TÉCNICO;;;;0;0
7740913;PARTIDA INICIAL;;;;0;475,2
7740969;BICO;TROCA DO BICO POR DESARME ANTES DO TERMINO DO ABASTECIMENTO;;;0;215
7741015;BICO;TROCA DO BICO POR DESARME ANTES DO TERMINO DO ABASTECIMENTO;;;0;215
7741283;SUPORTE AO CLIENTE;;;;0;0
7741505;PARTIDA INICIAL;;;;0;1425
7741547;PARTIDA INICIAL;;;;0;469,4
7742183;BLOCO MEDIDOR;CALIBRAÇÃO POR AFERIÇÃO NÃO CONFORME;;;0;860
7742261;SUPORTE AO CLIENTE;;;;0;0
7742267;SUPORTE TÉCNICO;;;;0;0
7742343;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7742503;BLOCO MEDIDOR;CALIBRAÇÃO POR AFERIÇÃO NÃO CONFORME;;;0;0
7742507;BLOCO MEDIDOR;CALIBRAÇÃO POR AFERIÇÃO NÃO CONFORME;;;0;0
7742515;BLOCO MEDIDOR;CALIBRAÇÃO POR AFERIÇÃO NÃO CONFORME;;;0;0
7742997;PARTIDA INICIAL;COM FALHA;;;0;517,37
7742999;PARTIDA INICIAL;;;;0;0
7743053;ADESIVO;;;;106,2;414
7743071;ADESIVO;;;;0;0
7743077;ADESIVO;;;;0;0
7743081;ADESIVO;;;;0;0
7743215;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7743219;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7743465;MOTOR;;;;0;1520
7743467;MOTOR;;;;0;0
7743471;MOTOR;;;;0;0
7743473;MOTOR;;;;0;0
7744659;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;548,9
7744673;CPU;CORREÇÃO DE ERRO;E350 - ERRO DE IDENTIFICAÇÃO DE HW/SW DO DISPLAY DE PU;;0;0
7744673;CPU;CORREÇÃO DE ERRO;E350 - ERRO DE IDENTIFICAÇÃO DE HW/SW DO DISPLAY DE PU;;0;0
7744911;PARTIDA INICIAL;;;;0;861,6
7744915;PARTIDA INICIAL;;;;0;0
7745131;PARTIDA INICIAL;;;;0;364,3
7746137;SUPORTE TÉCNICO;;;;0;0
7746223;PARTIDA INICIAL;;;;0;1055,9
7746225;PARTIDA INICIAL;COM FALHA;;;0;0
7746273;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7746275;CPU;CORREÇÃO DE ERRO;E350 - ERRO DE IDENTIFICAÇÃO DE HW/SW DO DISPLAY DE PU;;0;0
7746303;VÁLVULA SOLENÓIDE;TROCA DA VÁLVULA;;;0;1166,3
7746545;PARTIDA INICIAL;;;;0;408,5
7746597;CPU;CORREÇÃO DE ERRO;E630 - EXCEDIDO Nº MÁX DE TENTATIVAS DE ACESSO CONSECUTIVOS DO WSA;;0;0
7747211;PARTIDA INICIAL;;;;0;879
7747217;PARTIDA INICIAL;;;;0;0
7747219;PARTIDA INICIAL;;;;0;0
7747223;PARTIDA INICIAL;;;;0;0
7747225;PARTIDA INICIAL;;;;0;0
7747349;BICO;TROCA DO BICO POR VAZAMENTO NA PONTEIRA;;;1297,64;1512,64
7747369;BICO;;;;0;0
7747843;CHAMADO INDEVIDO;LIMPEZA DE DISCO MAGNÉTICO;;;0;531,65
7747931;BICO;TROCA DO BICO POR PROBLEMA NO SENSOR;;;0;313,6
7747983;SUPORTE AO CLIENTE;;;;0;0
7748011;PARTIDA INICIAL;;;;0;709,4
7748015;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;241,1
7748173;PARTIDA INICIAL;;;;0;457,8
7748233;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7748261;PARTIDA INICIAL;;;;0;1612,5
7748281;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7748273;PARTIDA INICIAL;;;;0;0
7748277;PARTIDA INICIAL;;;;0;0
7748727;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7748523;BICO;TROCA DO BICO POR PROBLEMA NO SENSOR;;;85,59;399,19
7748691;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;241,1
7748729;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7748739;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7748821;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7748871;SUPORTE TÉCNICO;;;;0;0
7748875;SUPORTE TÉCNICO;;;;0;0
7748877;SUPORTE TÉCNICO;;;;0;0
7748951;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7749001;SUPORTE TÉCNICO;;;;0;0
7749003;SUPORTE TÉCNICO;;;;0;0
7749031;SUPORTE TÉCNICO;;;;0;0
7749167;PARTIDA INICIAL;;;;0;1472,8
7749169;PARTIDA INICIAL;;;;0;0
7749229;PARTIDA INICIAL;;;;0;1101,6
7749233;PARTIDA INICIAL;;;;0;0
7749295;PARTIDA INICIAL;;;;0;1124,1
7749299;PARTIDA INICIAL;;;;0;0
7749501;PARTIDA INICIAL;COM FALHA;;;0;315
7749537;PARTIDA INICIAL;;;;0;1019,9
7749541;PARTIDA INICIAL;;;;0;0
7749545;PARTIDA INICIAL;;;;0;0
7749549;PARTIDA INICIAL;;;;0;0
7749555;PARTIDA INICIAL;;;;0;0
7749609;PARTIDA INICIAL;;;;0;449,8
7749629;PARTIDA INICIAL;;;;0;431
7749667;PARTIDA INICIAL;;;;0;930
7749803;PARTIDA INICIAL;;;;0;0
7749807;PARTIDA INICIAL;;;;0;0
7749815;PARTIDA INICIAL;;;;0;0
7750145;BICO;TROCA DO BICO POR VAZAMENTO NA PONTEIRA;;;0;945,9
7750169;BICO;VAZAMENTO NA PONTEIRA;;;0;0
7750319;PARTIDA INICIAL;;;;0;415
7750329;PARTIDA INICIAL;;;;0;415
7750331;PARTIDA INICIAL;;;;0;0
7750337;SUPORTE TÉCNICO;;;;0;0
7750529;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7750531;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7750533;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7750535;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7750537;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7750551;TECLADO;MEMBRANA;;;0;751,6
7750623;PARTIDA INICIAL;;;;0;311,4
7750701;PARTIDA INICIAL;;;;0;1068,07
7750703;PARTIDA INICIAL;;;;0;0
7750705;PARTIDA INICIAL;;;;0;0
7750707;PARTIDA INICIAL;;;;0;0
7750709;PARTIDA INICIAL;;;;0;0
7750763;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;1105,4
7750851;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7750891;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7750897;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7750929;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7750985;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7750987;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7750989;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7751255;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7751349;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7751351;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7751427;ADESIVO;;;;45,34;45,34
7751623;ADESIVO;;;;0;0
7751625;ADESIVO;;;;0;0
7751627;ADESIVO;;;;0;0
7751731;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;261,69
7751735;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7751881;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7751989;SUPORTE TÉCNICO;;;;0;0
7752147;BICO;TROCA DO BICO POR VAZAMENTO NA PONTEIRA;;;0;248,93
7752227;PARTIDA INICIAL;;;;0;265
7752247;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7752249;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7752251;SUPORTE TÉCNICO;;;;0;0
7752253;SUPORTE TÉCNICO;;;;0;0
7752255;SUPORTE TÉCNICO;;;;0;0
7752259;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7752419;PARTIDA INICIAL;;;;0;1520
7752423;PARTIDA INICIAL;;;;0;0
7752429;PARTIDA INICIAL;;;;0;0
7752499;PARTIDA INICIAL;;;;0;903,6
7752503;PARTIDA INICIAL;;;;0;0
7752505;PARTIDA INICIAL;;;;0;0
7752535;PARTIDA INICIAL;;;;0;1261,1
7752541;PARTIDA INICIAL;;;;0;0
7752545;PARTIDA INICIAL;;;;0;0
7753051;PARTIDA INICIAL;;;;0;811,5
7753121;SUPORTE TÉCNICO;;;;0;0
7753129;PARTIDA INICIAL;;;;0;1345,2
7753131;PARTIDA INICIAL;;;;0;0
7753139;PARTIDA INICIAL;;;;0;988,9
7753149;PARTIDA INICIAL;;;;0;0
7753443;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;215
7753709;PARTIDA INICIAL;;;;0;610
7753715;PARTIDA INICIAL;;;;0;0
7753727;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;215
7753823;SUPORTE TÉCNICO;;;;0;0
7753847;PARTIDA INICIAL;;;;0;901,4
7753849;PARTIDA INICIAL;;;;0;0
7753851;PARTIDA INICIAL;;;;0;0
7753853;PARTIDA INICIAL;;;;0;0
7753855;PARTIDA INICIAL;;;;0;0
7753859;PARTIDA INICIAL;;;;0;0
7753861;PARTIDA INICIAL;;;;0;0
7753869;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7753871;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7753873;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7754079;SUPORTE TÉCNICO;;;;0;0
7754081;SUPORTE TÉCNICO;;;;0;0
7754205;PARTIDA INICIAL;;;;0;511,33
7754251;SUPORTE TÉCNICO;;;;0;0
7754209;PARTIDA INICIAL;;;;0;382,4
7754215;PARTIDA INICIAL;;;;0;582,38
7754279;SUPORTE AO CLIENTE;;;;0;0
7754285;CPU;REPROGRAMAÇÃO;;;0;0
7754293;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7754339;SUPORTE AO CLIENTE;;;;0;0
7754345;CHAMADO CANCELADO;;;;0;0
7754365;CPU;REPROGRAMAÇÃO;;;0;672,3
7754407;TECLADO;MEMBRANA;;;86,6;838,2
7754441;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7754517;VÁLVULA SOLENÓIDE;TROCA DA VÁLVULA;;;153,04;1319,34
7754551;BICO;TROCA DO BICO POR VAZAMENTO NA PONTEIRA;;;85,59;85,59
7754895;VÁLVULA SOLENÓIDE;TROCA DA VÁLVULA;;;0;617,2
7754941;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7755111;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;215
7755395;PARTIDA INICIAL;;;;0;1089,9
7755399;PARTIDA INICIAL;;;;0;0
7755401;PARTIDA INICIAL;;;;0;0
7755403;PARTIDA INICIAL;;;;0;0
7755417;PARTIDA INICIAL;;;;0;935,5
7755419;PARTIDA INICIAL;;;;0;0
7755423;PARTIDA INICIAL;;;;0;0
7755425;PARTIDA INICIAL;;;;0;0
7755427;PARTIDA INICIAL;;;;0;0
7755433;PARTIDA INICIAL;;;;0;0
7755575;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7755595;SUPORTE TÉCNICO;;;;0;0
7755759;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7755761;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7756011;SUPORTE TÉCNICO;;;;0;0
7756013;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7756081;PARTIDA INICIAL;;;;0;1767,2
7756217;SUPORTE AO CLIENTE;;;;0;0
7756225;PARTIDA INICIAL;;;;0;720,6
7756237;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7756305;PARTIDA INICIAL;;;;0;1424,3
7756243;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7756347;PARTIDA INICIAL;;;;0;0
7756351;PARTIDA INICIAL;;;;0;0
7756353;PARTIDA INICIAL;;;;0;0
7756433;PARTIDA INICIAL;COM FALHA;;;0;2244
7756435;PARTIDA INICIAL;;;;0;0
7756437;PARTIDA INICIAL;;;;0;0
7756443;PARTIDA INICIAL;;;;0;0
7756737;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7756739;CPU;REPROGRAMAÇÃO;;;0;0
7756799;SUPORTE TÉCNICO;;;;0;0
7756855;PARTIDA INICIAL;;;;0;265
7757019;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;980,7
7757029;VISITA IMPRODUTIVA;EQUIPAMENTO FUNCIONANDO NORMALMENTE;;;0;0
7757197;SUPORTE AO CLIENTE;;;;0;0
7757221;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7757277;SUPORTE AO CLIENTE;;;;0;0
7757367;ESTRUTURA;;;;0;777,7
7757383;BICO; TROCA DA VALVULA APLICADA NA PONTEIRA ARLA;;;0;856
7757389;BICO;TROCA DO BICO POR VAZAMENTO NA PONTEIRA;;;0;0
7757399;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7757583;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7757635;BICO;TROCA DO BICO POR VAZAMENTO NA PONTEIRA;;;241,11;456,11
7757667;BICO;TROCA DO BICO POR VAZAMENTO NA PONTEIRA;;;0;547
7757887;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;345,5
7758001;SUPORTE AO CLIENTE;;;;0;0
7758003;SUPORTE AO CLIENTE;;;;0;0
7758025;SUPORTE TÉCNICO;;;;0;0
7758101;PARTIDA INICIAL;;;;0;1115,4
7758103;PARTIDA INICIAL;;;;0;0
7758121;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7758467;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;215
7758507;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;360
7758517;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7758567;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7758609;PARTIDA INICIAL;;;;0;0
7758611;PARTIDA INICIAL;;;;0;0
7758613;PARTIDA INICIAL;;;;0;0
7758677;RECEPTÁCULO;SENSOR;;;0;980,7
7758723;PARTIDA INICIAL;;;;0;365
7758713;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7759153;SUPORTE AO CLIENTE;;;;0;0
7759289;PARTIDA INICIAL;;;;0;361,4
7759249;PARTIDA INICIAL;COM FALHA;;;0;619,5
7759253;PARTIDA INICIAL;COM FALHA;;;0;0
7759281;PARTIDA INICIAL;;;;0;526
7759295;PARTIDA INICIAL;;;;0;0
7759455;PARTIDA INICIAL;;;;0;1245,8
7759457;PARTIDA INICIAL;;;;0;0
7759459;PARTIDA INICIAL;;;;0;0
7759469;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7759857;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;695,5
7759875;TECLADO;MEMBRANA;;;0;1499,9
7759911;BLOCO MEDIDOR;TROCA DO BLOCO POR OUTRAS CAUSAS;;;0;483,8
7759931;SUPORTE AO CLIENTE;;;;0;0
7759965;SUPORTE AO CLIENTE;;;;0;0
7759971;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7759973;COMPACTA;BYPASS;;;0;0
7759989;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7759999;BICO;TROCA DO BICO POR NÃO ARMAR;;;0;0
7760183;PARTIDA INICIAL;;;;0;816
7760227;BICO; TROCA DA VALVULA APLICADA NA PONTEIRA ARLA;;;0;1035,8
7760245;SUPORTE TÉCNICO;;;;0;0
7760413;PARTIDA INICIAL;;;;0;654,3
7760409;PARTIDA INICIAL;;;;0;1098
7760411;PARTIDA INICIAL;;;;0;0
7760427;PARTIDA INICIAL;;;;0;0
7760453;ADESIVO;;;;0;0
7760455;ADESIVO;;;;0;0
7760457;ADESIVO;;;;0;0
7760459;ADESIVO;;;;0;0
7760461;SUPORTE TÉCNICO;;;;0;0
7760561;TECLADO;MAU CONTATO NO CABO;;;0;225
7760575;BICO;TROCA DO BICO NÃO DESARMA;;;0;215
7760705;BICO;TROCA DO BICO POR VAZAMENTO NA PONTEIRA;;;0;310,7
7760713;BICO;TROCA DO BICO POR NÃO ARMAR;;;0;0
7760761;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7760793;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;215
7760801;VISITA IMPRODUTIVA;;;;1209,05;3022,85
7760947;PARTIDA INICIAL;COM FALHA;;;0;996,5
7760953;PARTIDA INICIAL;COM FALHA;;;0;0
7760991;PARTIDA INICIAL;;;;0;389,41
7761019;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7761021;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7761085;SUPORTE TÉCNICO;;;;0;0
7761093;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7761109;SUPORTE AO CLIENTE;;;;0;0
7761111;SUPORTE AO CLIENTE;;;;0;0
7761113;SUPORTE AO CLIENTE;;;;0;0
7761115;SUPORTE AO CLIENTE;;;;0;0
7761189;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;695,5
7761207;PARTIDA INICIAL;COM FALHA;;;0;1015
7761211;PARTIDA INICIAL;COM FALHA;;;0;0
7761215;PARTIDA INICIAL;COM FALHA;;;0;0
7761217;PARTIDA INICIAL;;;;0;0
7761255;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7761569;SUPORTE AO CLIENTE;;;;0;0
7761573;CHAMADO CANCELADO;;;;176,73;176,73
7761673;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7762011;SUPORTE AO CLIENTE;;;;0;0
7762031;CPU;CORREÇÃO DE ERRO;E099 - ÁREAS DE MEMÓRIA DANIFICADAS/CORROMPIDAS;;0;0
7762041;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;310,7
7762065;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7762079;SUPORTE TÉCNICO;;;;0;0
7762179;SUPORTE AO CLIENTE;;;;0;0
7762331;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;1874
7762435;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7762471;PARTIDA INICIAL;;;;0;648,5
7762475;PARTIDA INICIAL;;;;0;0
7762565;BICO;TROCA DO BICO NÃO DESARMA;;;324,41;539,41
7762563;PARTIDA INICIAL;;;;0;555
7762557;PARTIDA INICIAL;;;;0;490,5
7762561;PARTIDA INICIAL;;;;0;0
7762623;PARTIDA INICIAL;;;;0;449
7762627;PARTIDA INICIAL;;;;0;0
7762629;PARTIDA INICIAL;;;;0;0
7762767;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7762771;BICO;TROCA DO BICO POR VAZAMENTO NA PONTEIRA;;;648,82;1583,12
7762877;SUPORTE TÉCNICO;;;;0;0
7762977;SUPORTE AO CLIENTE;;;;0;0
7763135;BICO;TROCA DO BICO POR VAZAMENTO NA PONTEIRA;;;80,37;80,37
7763165;BICO;;;;0;934,3
7763257;PARTIDA INICIAL;;;;0;1371
7763261;PARTIDA INICIAL;;;;0;0
7763399;ADESIVO;;;;164,76;764,56
7763459;SUPORTE AO CLIENTE;;;;0;0
7763537;PARTIDA INICIAL;;;;0;1051,6
7763611;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7763667;PARTIDA INICIAL;;;;0;1013
7763669;PARTIDA INICIAL;;;;0;1018,8
7763673;CHAMADO CANCELADO;;;;0;0
7763675;PARTIDA INICIAL;;;;0;0
7763677;CHAMADO CANCELADO;;;;0;0
7763679;PARTIDA INICIAL;;;;0;0
7763745;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;594
7763773;COMPACTA;REGULAGEM DO BY-PASS;;;0;215
7763775;COMPACTA;REGULAGEM DO BY-PASS;;;0;0
7763921;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;663,6
7763955;TECLADO;;;;86,6;750,2
7763989;PARTIDA INICIAL;;;;0;1138,6
7764009;SUPORTE AO CLIENTE;;;;0;0
7764187;DISPLAY;RETIRADA DE MAU CONTATO;;;0;0
7764461;SUPORTE AO CLIENTE;;;;0;0
7764527;BLOCO MEDIDOR;TROCA DA VALVULA DE RETENÇÃO E ALIVIO;;;0;934,3
7764505;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7764511;SUPORTE TÉCNICO;;;;0;0
7764521;PARTIDA INICIAL;;;;0;2571
7764523;PARTIDA INICIAL;;;;0;0
7764541;PARTIDA INICIAL;;;;0;0
7764543;VÁLVULA SOLENÓIDE;TROCA DA VÁLVULA;;;0;0
7764569;PARTIDA INICIAL;;;;0;615
7764641;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7764645;SUPORTE TÉCNICO;;;;0;0
7764669;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7764679;PARTIDA INICIAL;COM FALHA;;;0;0
7764725;SUPORTE TÉCNICO;;;;0;0
7764727;VÁLVULA SOLENÓIDE;TROCA DA VÁLVULA;;;153,04;153,04
7764803;SUPORTE TÉCNICO;;;;0;0
7764791;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7764833;PARTIDA INICIAL;;;;0;1514,8
7764835;PARTIDA INICIAL;;;;0;0
7764837;PARTIDA INICIAL;;;;0;0
7764839;PARTIDA INICIAL;;;;0;0
7764875;SUPORTE TÉCNICO;;;;0;0
7764885;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;1088
7764951;CHAMADO CANCELADO;;;;0;0
7764977;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7765043;SUPORTE AO CLIENTE;;;;0;0
7765099;PARTIDA INICIAL;;;;0;723,9
7765101;PARTIDA INICIAL;;;;0;0
7765103;PARTIDA INICIAL;;;;0;0
7765105;PARTIDA INICIAL;;;;0;0
7765143;PARTIDA INICIAL;;;;0;705
7765145;CPU;CORREÇÃO DE ERRO;E630 - EXCEDIDO Nº MÁX DE TENTATIVAS DE ACESSO CONSECUTIVOS DO WSA;;0;0
7765147;PARTIDA INICIAL;;;;0;0
